SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,13411 243rd St,Rosedale,NY,11422,799000,2,2.5,Rosedale,1716,4000,1925,8,466,,Active,,,https://www.redfin.com/NY/Rosedale/13411-243rd-St-11422/home/20690739,OneKey® MLS as Distributed by MLS Grid,862853,N,Y,40.6722372,-73.7313514
MLS Listing,,Condo/Co-op,151-40 88 St Unit 1G,Howard Beach,NY,11414,345000,2,2,Howard Beach,1130,,1965,16,305,,Active,,,https://www.redfin.com/NY/Howard-Beach/15140-88th-St-11414/unit-1G/home/57020499,OneKey® MLS as Distributed by MLS Grid,859077,N,Y,40.6674344,-73.8479327
MLS Listing,,Condo/Co-op,16634 137th Ave Unit B1,Jamaica,NY,11434,249999,2,1,Jamaica,809,37857,1988,49,309,275,Active,,,https://www.redfin.com/NY/Jamaica/16634-137th-Ave-11434/unit-B1/home/20704428,OneKey® MLS as Distributed by MLS Grid,843133,N,Y,40.6719885,-73.7731944
MLS Listing,,Single Family Residential,102-02 163rd Dr,Howard Beach,NY,11414,751000,3,2.5,Howard Beach,1540,2400,2004,53,488,,Active,,,https://www.redfin.com/NY/Howard-Beach/10202-163rd-Dr-11414/home/20679244,OneKey® MLS as Distributed by MLS Grid,843376,N,Y,40.6524306,-73.8292588
MLS Listing,,Single Family Residential,153-14 119th Ave,Jamaica,NY,11434,619000,3,1,Jamaica,1024,1544,1940,58,604,,Active,May-31-2025 03:30 PM,May-31-2025 05:00 PM,https://www.redfin.com/NY/Jamaica/15314-119th-Ave-11434/home/20709272,OneKey® MLS as Distributed by MLS Grid,841081,N,Y,40.6796322,-73.7887599
MLS Listing,,Single Family Residential,91-27 71st Ave Ave,Forest Hills,NY,11375,1398000,4,2.5,Forest Hills,2073,2200,1925,61,674,,Active,,,https://www.redfin.com/NY/Forest-Hills/9127-71st-Ave-11375/home/20873921,OneKey® MLS as Distributed by MLS Grid,839300,N,Y,40.7095042,-73.8514553
MLS Listing,,Condo/Co-op,4310 48th Ave Unit 2F,Woodside,NY,11377,485000,2,1,Woodside,732,,1931,64,663,,Active,,,https://www.redfin.com/NY/Woodside/4310-48th-Ave-11377/unit-2F/home/20627823,OneKey® MLS as Distributed by MLS Grid,834572,N,Y,40.7394685,-73.9217347
MLS Listing,,Condo/Co-op,37-20 81st St Unit 1F,Jackson Heights,NY,11372,224000,1,1,3720 81st,,,1929,67,,,Active,May-31-2025 12:30 PM,May-31-2025 02:00 PM,https://www.redfin.com/NY/Jackson-Heights/3720-81st-St-11372/unit-1F/home/20627605,OneKey® MLS as Distributed by MLS Grid,837151,N,Y,40.7490395,-73.8854005
MLS Listing,,Condo/Co-op,120-12 85th Unit 3A,Kew Gardens,NY,11415,275000,1,1,Kew Gardens,,,1951,79,,,Active,,,https://www.redfin.com/NY/Kew-Gardens/120-12-85th-Ave-11415/unit-3A/home/194870019,OneKey® MLS as Distributed by MLS Grid,831084,N,Y,40.7030365,-73.830674
MLS Listing,,Condo/Co-op,37-14 34th St Unit N3E,Long Island City,NY,11101,895000,1,1,Long Island City,658,,2019,93,1360,773,Active,,,https://www.redfin.com/NY/Long-Island-City/3714-34th-St-11101/unit-N3E/home/175777798,OneKey® MLS as Distributed by MLS Grid,826306,N,Y,40.7534527,-73.9291354
MLS Listing,,Condo/Co-op,64-75 Austin St Unit 7A,Rego Park,NY,11374,799000,2,2,Major Plaza Condominium,914,,2015,99,874,468,Active,,,https://www.redfin.com/NY/Rego-Park/6475-Austin-St-11374/unit-7A/home/109706913,OneKey® MLS as Distributed by MLS Grid,824619,N,Y,40.7265719,-73.8601692
MLS Listing,,Single Family Residential,310 Beach 39th St,Far Rockaway,NY,11691,598000,3,1,Far Rockaway,2652,1549,1940,120,225,,Active,,,https://www.redfin.com/NY/Far-Rockaway/310-Beach-39th-St-11691/home/20674139,OneKey® MLS as Distributed by MLS Grid,816769,N,Y,40.5947463,-73.7710787
MLS Listing,,Condo/Co-op,7607 Ditmars Blvd #1,East Elmhurst,NY,11370,489999,1,1,East Elmhurst,643,,1939,1,762,523,Active,,,https://www.redfin.com/NY/East-Elmhurst/7607-Ditmars-Blvd-11370/unit-1/home/20939405,OneKey® MLS as Distributed by MLS Grid,866702,N,Y,40.769254,-73.892951
MLS Listing,,Condo/Co-op,61-20 Grand Central Pkwy Unit B 903,Forest Hills,NY,11375,469000,2,2,Forest Hills,1300,,1962,1,361,2119,Active,,,https://www.redfin.com/NY/Queens/6120-Grand-Central-Pkwy-11375/unit-B903/home/108378741,OneKey® MLS as Distributed by MLS Grid,866688,N,Y,40.7381033,-73.8471272
MLS Listing,,Single Family Residential,14-50 141st St,Whitestone,NY,11357,999000,3,1.5,Whitestone,1500,4000,1955,1,666,,Active,,,https://www.redfin.com/NY/Whitestone/1450-141st-St-11357/home/20868530,OneKey® MLS as Distributed by MLS Grid,866687,N,Y,40.7851082,-73.828204
MLS Listing,,Single Family Residential,64-30 73rd Pl,Middle Village,NY,11379,849000,2,1,Middle Village,796,1940,1950,1,1067,,Active,,,https://www.redfin.com/NY/Middle-Village/6430-73rd-Pl-11379/home/20899584,OneKey® MLS as Distributed by MLS Grid,866685,N,Y,40.7153711,-73.8816575
MLS Listing,,Single Family Residential,109-29 118 St,South Ozone Park,NY,11420,749000,3,4.5,South Ozone Park,1326,,1960,1,565,,Active,,,https://www.redfin.com/NY/South-Ozone-Park/10929-118th-St-11420/home/20723621,OneKey® MLS as Distributed by MLS Grid,866659,N,Y,40.681224,-73.822411
MLS Listing,,Multi-Family (2-4 Unit),4126 149th Pl,Flushing,NY,11355,1880000,8,4,Flushing,2047,1800,1960,1,918,,Active,,,https://www.redfin.com/NY/Flushing/4126-149th-Pl-11355/home/20854406,OneKey® MLS as Distributed by MLS Grid,866553,N,Y,40.761567,-73.814664
MLS Listing,,Multi-Family (2-4 Unit),150-17 Hawtree St,Ozone Park,NY,11417,1785000,0,,Ozone Park,,,2025,1,,,Active,,,https://www.redfin.com/NY/Ozone-Park/150-17-Hawtree-St-11417/home/194823122,OneKey® MLS as Distributed by MLS Grid,866654,N,Y,40.6685245,-73.8344737
MLS Listing,,Multi-Family (2-4 Unit),8779 111th St,Richmond Hill,NY,11418,899000,0,,Richmond Hill,,2000,1950,1,,,Active,May-25-2025 01:30 PM,May-25-2025 03:00 PM,https://www.redfin.com/NY/Richmond-Hill/8779-111th-St-11418/home/163360200,OneKey® MLS as Distributed by MLS Grid,866613,N,Y,40.6948461,-73.8358626
MLS Listing,,Condo/Co-op,136-21 Latimer Pl Unit 5H,Flushing,NY,11354,700000,2,2,Latimer Condo,1106,13125,2017,1,633,635,Active,,,https://www.redfin.com/NY/Flushing/13621-Latimer-Pl-11354/unit-5H/home/113720162,OneKey® MLS as Distributed by MLS Grid,866568,N,Y,40.7669731,-73.8308794
MLS Listing,,Condo/Co-op,18-65 211 St Unit 6G,Bayside,NY,11360,358000,2,1,Bayside,950,,1960,1,377,,Active,,,https://www.redfin.com/NY/Bayside/1865-211th-St-11360/unit-6G/home/20634717,OneKey® MLS as Distributed by MLS Grid,866627,N,Y,40.781311,-73.780407
MLS Listing,,Multi-Family (2-4 Unit),5-41 117 St,College Point,NY,11356,1188000,1,,College Point,,,1960,1,,,Active,,,https://www.redfin.com/NY/College-Point/541-117th-St-11356/home/20873688,OneKey® MLS as Distributed by MLS Grid,866625,N,Y,40.7905561,-73.8505161
MLS Listing,,Multi-Family (2-4 Unit),42-50 65 St,Woodside,NY,11377,1399000,5,2,Woodside,,,1925,1,,,Active,,,https://www.redfin.com/NY/Woodside/4250-65th-St-11377/home/20937167,OneKey® MLS as Distributed by MLS Grid,860432,N,Y,40.7423109,-73.9005597
MLS Listing,,Single Family Residential,20-29 150th St,Whitestone,NY,11357,899000,3,2,Whitestone,1088,2470,1950,1,826,,Active,,,https://www.redfin.com/NY/Whitestone/2029-150th-St-11357/home/20864041,OneKey® MLS as Distributed by MLS Grid,865119,N,Y,40.7803846,-73.8140354
MLS Listing,,Single Family Residential,202-07 Linden Blvd,Saint Albans,NY,11412,959999,5,3,Saint Albans,1584,3920,1950,1,606,,Active,,,https://www.redfin.com/NY/Saint-Albans/20207-Linden-Blvd-11412/home/20734347,OneKey® MLS as Distributed by MLS Grid,863636,N,Y,40.6952578,-73.7501703
MLS Listing,,Multi-Family (2-4 Unit),143-29 257th St,Rosedale,NY,11422,1325000,6,4,Rosedale,2200,4000,2010,1,602,,Active,,,https://www.redfin.com/NY/Rosedale/14329-257th-St-11422/home/20685289,OneKey® MLS as Distributed by MLS Grid,856773,N,Y,40.6589331,-73.7285471
MLS Listing,,Single Family Residential,40-14 79th St,Elmhurst,NY,11373,1150000,4,2,Elmhurst,1616,3000,1920,1,712,,Active,,,https://www.redfin.com/NY/Elmhurst/4014-79th-St-11373/home/20928292,OneKey® MLS as Distributed by MLS Grid,866103,N,Y,40.746823,-73.886949
MLS Listing,,Multi-Family (2-4 Unit),69-59 74th St,Middle Village,NY,11379,1118888,4,3,Middle Village,1920,2048,1935,1,583,,Active,,,https://www.redfin.com/NY/Middle-Village/6959-74th-St-11379/home/20874760,OneKey® MLS as Distributed by MLS Grid,864092,N,Y,40.7078708,-73.8766463
MLS Listing,,Single Family Residential,145-62 229th St,Springfield Gardens,NY,11413,725000,3,2,Springfield Gardens,1050,2500,1955,1,690,,Active,,,https://www.redfin.com/NY/Springfield-Gardens/14562-229th-St-11413/home/20689416,OneKey® MLS as Distributed by MLS Grid,865985,N,Y,40.6603486,-73.7518561
MLS Listing,,Multi-Family (2-4 Unit),150-29 Hawtree St,Ozone Park,NY,11417,1785000,0,,Ozone Park,,,2025,1,,,Active,,,https://www.redfin.com/NY/Ozone-Park/150-29-Hawtree-St-11417/home/194879944,OneKey® MLS as Distributed by MLS Grid,866612,N,Y,40.6681713,-73.8343001
MLS Listing,,Single Family Residential,148-03 9th Ave,Whitestone,NY,11357,1768000,4,2.5,Whitestone,2400,4069,1935,1,737,,Active,,,https://www.redfin.com/NY/Whitestone/14803-9th-Ave-11357/home/20869373,OneKey® MLS as Distributed by MLS Grid,866402,N,Y,40.7925333,-73.8190007
MLS Listing,,Multi-Family (2-4 Unit),70-31 71 Pl,Glendale,NY,11385,898000,5,3,Glendale,1248,2500,1925,1,720,,Active,May-25-2025 02:00 PM,May-25-2025 04:00 PM,https://www.redfin.com/NY/Glendale/7031-71st-Pl-11385/home/20877893,OneKey® MLS as Distributed by MLS Grid,866324,N,Y,40.705333,-73.880257
MLS Listing,,Multi-Family (2-4 Unit),25-72 127 St,Flushing,NY,11354,1328000,0,,Flushing,2112,3290,1960,1,629,,Active,,,https://www.redfin.com/NY/Flushing/2572-127th-St-11354/home/20867625,OneKey® MLS as Distributed by MLS Grid,866545,N,Y,40.7744925,-73.8420746
MLS Listing,,Single Family Residential,115-09 Linden Blvd,South Ozone Park,NY,11420,868000,4,3.5,South Ozone Park,2136,1742,1970,1,406,,Active,,,https://www.redfin.com/NY/South-Ozone-Park/11509-Linden-Blvd-11420/home/20720947,OneKey® MLS as Distributed by MLS Grid,866577,N,Y,40.6781251,-73.8236055
MLS Listing,,Multi-Family (2-4 Unit),154-11 17th Ave,Whitestone,NY,11357,1380000,5,3,Whitestone,,3900,1960,1,,,Active,,,https://www.redfin.com/NY/Whitestone/15411-17th-Ave-11357/home/189830775,OneKey® MLS as Distributed by MLS Grid,866569,N,Y,40.7838624,-73.8080936
MLS Listing,,Condo/Co-op,22048 75th Ave Unit A1,Bayside,NY,11364,365000,2,1,Windsor Oaks,587,,1958,1,622,,Pre On-Market,,,https://www.redfin.com/NY/Oakland-Gardens/220-48-75th-Ave-11364/unit-A1/home/195901445,OneKey® MLS as Distributed by MLS Grid,855767,N,Y,40.7389169,-73.7518252
MLS Listing,,Single Family Residential,12027 140th St,Jamaica,NY,11436,549999,2,2,Jamaica,3000,1575,1915,1,183,,Active,,,https://www.redfin.com/NY/Jamaica/12027-140th-St-11436/home/20715553,OneKey® MLS as Distributed by MLS Grid,866561,N,Y,40.6752674,-73.8006748
MLS Listing,,Single Family Residential,48-16 65 St,Woodside,NY,11377,849000,3,2.5,Woodside,1400,2000,1940,1,606,,Active,,,https://www.redfin.com/NY/Woodside/4816-65th-St-11377/home/20911836,OneKey® MLS as Distributed by MLS Grid,866448,N,Y,40.7379552,-73.9010974
MLS Listing,,Condo/Co-op,42-30 Douglaston Pkwy Unit 7H,Douglaston,NY,11363,339888,1,1,Wellesley Gardens,700,,1964,1,486,,Active,,,https://www.redfin.com/NY/Little-Neck/4230-Douglaston-Pkwy-11363/unit-7H/home/20634964,OneKey® MLS as Distributed by MLS Grid,865982,N,Y,40.767612,-73.7472383
MLS Listing,,Condo/Co-op,38-20 Parsons Blvd #717,Flushing,NY,11354,1039600,2,2,Flushing,792,,2025,1,1313,343,Active,,,https://www.redfin.com/NY/Flushing/38-20-Parsons-Blvd-11354/unit-717/home/195900717,OneKey® MLS as Distributed by MLS Grid,866555,N,Y,40.7623544,-73.8229707
MLS Listing,,Condo/Co-op,38-20 Parsons Blvd #524,Flushing,NY,11354,1007920,2,2,Flushing,792,,2025,1,1273,343,Active,,,https://www.redfin.com/NY/Flushing/38-20-Parsons-Blvd-11354/unit-524/home/195900686,OneKey® MLS as Distributed by MLS Grid,866552,N,Y,40.7623544,-73.8229707
MLS Listing,,Condo/Co-op,38-20 Parsons Blvd #521,Flushing,NY,11354,670240,1,1,Flushing,524,,2025,1,1279,227,Active,,,https://www.redfin.com/NY/Flushing/38-20-Parsons-Blvd-11354/unit-521/home/195900628,OneKey® MLS as Distributed by MLS Grid,866551,N,Y,40.7623544,-73.8229707
MLS Listing,,Condo/Co-op,38-20 Parsons Blvd #516,Flushing,NY,11354,638740,1,1,Flushing,499,,2025,1,1280,216,Active,,,https://www.redfin.com/NY/Flushing/38-20-Parsons-Blvd-11354/unit-516/home/195900490,OneKey® MLS as Distributed by MLS Grid,866549,N,Y,40.7623544,-73.8229707
